Title,Year,Type,Runtime,Genre,Rating,Director,No_of_ratings,Gross
Wonderstruck,2017,PG,116 min,"Drama, Mystery",6.2,Todd Haynes,6549,$1.03M
Trumbo,2015,R,124 min,"Biography, Drama",7.5,Jay Roach,65871,$7.86M
Shimmer Lake,2017,TV-MA,83 min,"Crime, Drama, Mystery",6.2,Oren Uziel,7433,NaN
Teeth,2007,R,94 min,"Comedy, Fantasy, Horror",5.4,Mitchell Lichtenstein,38110,$0.35M
The Texas Chainsaw Massacre: The Beginning,2006,R,91 min,"Horror, Thriller",5.9,Jonathan Liebesman,62274,$39.52M
I.T.,2016,Not Rated,95 min,"Crime, Drama, Mystery",5.4,John Moore,12263,NaN
Our Souls at Night,2017,TV-14,103 min,"Drama, Romance",6.9,Ritesh Batra,6936,NaN
Macbeth,2015,R,113 min,"Drama, History, War",6.6,Justin Kurzel,47001,$1.11M
Eagle Eye,2008,PG-13,118 min,"Action, Mystery, Thriller",6.6,D.J. Caruso,163165,$101.11M
Diary of a Wimpy Kid,2010,PG,94 min,"Comedy, Family",6.2,Thor Freudenthal,37049,$64.00M
Saw II,2005,R,93 min,"Horror, Mystery",6.6,Darren Lynn Bousman,211295,$87.04M
Hangman,2017,R,98 min,"Crime, Mystery, Thriller",5.2,Johnny Martin,7985,NaN
Remember,2015,R,94 min,"Drama, Mystery, Thriller",7.4,Atom Egoyan,17507,$0.64M
Churchill,2017,PG,105 min,"Biography, Drama, History",6.3,Jonathan Teplitzky,11182,$1.24M
Friends with Kids,2011,R,107 min,"Comedy, Drama, Romance",6.2,Jennifer Westfeldt,38705,$7.25M
La piel que habito,2011,R,120 min,"Drama, Thriller",7.6,Pedro Almodóvar,118386,$3.19M
Sahara,2005,PG-13,124 min,"Action, Adventure, Comedy",6,Breck Eisner,84401,$68.67M
Final Destination 5,2011,R,92 min,"Fantasy, Horror, Mystery",5.9,Steven Quale,94353,$42.59M
Super Dark Times,2017,Not Rated,103 min,"Drama, Thriller",6.6,Kevin Phillips,11719,$0.03M
LOL,2012,PG-13,97 min,"Comedy, Drama, Romance",4.4,Lisa Azuelos,49989,$0.05M
Far from the Madding Crowd,2015,PG-13,119 min,"Drama, Romance",7.1,Thomas Vinterberg,39064,$12.23M
The Game Plan,2007,PG,110 min,"Comedy, Family, Sport",6.2,Andy Fickman,50981,$90.65M
9,2009,PG-13,79 min,"Animation, Action, Adventure",7.1,Shane Acker,122244,$31.74M
Surrogates,2009,PG-13,89 min,"Action, Sci-Fi, Thriller",6.3,Jonathan Mostow,160585,$38.58M
From Paris with Love,2010,R,92 min,"Action, Crime, Thriller",6.5,Pierre Morel,104877,$23.98M
The Debt,2010,R,113 min,"Drama, Thriller",6.9,John Madden,59657,$31.18M
Mommy,2014,R,139 min,Drama,8.1,Xavier Dolan,40177,$3.49M
Grandma's Boy,2006,R,94 min,Comedy,7,Nicholaus Goossen,72432,$6.09M
Coach Carter,2005,PG-13,136 min,"Biography, Drama, Sport",7.3,Thomas Carter,106253,$67.26M
Son of the Mask,2005,PG,94 min,"Comedy, Family, Fantasy",2.2,Lawrence Guterman,47219,$17.02M
Blue Ruin,2013,R,90 min,"Crime, Drama, Thriller",7.1,Jeremy Saulnier,55511,$0.26M
Ice Age: Dawn of the Dinosaurs,2009,PG,94 min,"Animation, Action, Adventure",7,Carlos Saldanha,192937,$196.57M
United 93,2006,R,111 min,"Drama, History, Thriller",7.6,Paul Greengrass,90375,$31.57M
Amityville: The Awakening,2017,PG-13,85 min,"Horror, Thriller",4.8,Franck Khalfoun,9559,$0.00M
Capote,2005,R,114 min,"Biography, Crime, Drama",7.4,Bennett Miller,113310,$28.75M
Wild Card,2015,R,92 min,"Action, Crime, Drama",5.6,Simon West,44159,NaN
High School Musical 3: Senior Year,2008,G,112 min,"Comedy, Drama, Family",4.6,Kenny Ortega,50647,$90.56M
Something Borrowed,2011,PG-13,112 min,"Comedy, Drama, Romance",5.9,Luke Greenfield,52892,$39.05M
The Pacifier,2005,PG,95 min,"Action, Comedy, Drama",5.6,Adam Shankman,77132,$113.09M
Step Up 2: The Streets,2008,PG-13,98 min,"Drama, Music, Romance",6.3,Jon M. Chu,74313,$58.02M
Bilal: A New Breed of Hero,2015,PG-13,105 min,"Animation, Action, Adventure",8.4,Khurram H. Alavi,16187,$0.49M
State of Play,2009,PG-13,127 min,"Crime, Drama, Mystery",7.1,Kevin Macdonald,122830,$37.02M
Rumor Has It...,2005,PG-13,97 min,"Comedy, Drama, Romance",5.5,Rob Reiner,46459,$43.00M
Mark Felt: The Man Who Brought Down the White House,2017,PG-13,103 min,"Biography, Drama, History",6.4,Peter Landesman,7179,$0.77M
The Words,2012,PG-13,102 min,"Drama, Mystery, Romance",7.1,Brian Klugman,68001,$11.49M
The Hundred-Foot Journey,2014,PG,122 min,"Comedy, Drama",7.3,Lasse Hallström,65708,$54.24M
On Body and Soul,2017,Not Rated,116 min,"Drama, Fantasy, Romance",7.6,Ildikó Enyedi,16044,NaN
The Inbetweeners Movie,2011,R,97 min,Comedy,6.8,Ben Palmer,70870,$0.04M
Next,2007,PG-13,96 min,"Action, Sci-Fi, Thriller",6.2,Lee Tamahori,136371,$18.21M
All Good Things,2010,R,101 min,"Crime, Drama, Mystery",6.3,Andrew Jarecki,47847,$0.58M
Tooth Fairy,2010,PG,101 min,"Comedy, Family, Fantasy",5,Michael Lembeck,35874,$60.02M
The Big Wedding,2013,R,89 min,"Comedy, Drama, Romance",5.6,Justin Zackham,42889,$21.78M
The Human Centipede II (Full Sequence),2011,Not Rated,91 min,Horror,3.8,Tom Six,31086,$0.12M
Dead Silence,2007,R,89 min,"Fantasy, Horror, Mystery",6.2,James Wan,76427,$16.81M
The Wedding Ringer,2015,R,101 min,Comedy,6.7,Jeremy Garelick,64650,$64.46M
The Hallow,2015,Not Rated,97 min,Horror,5.7,Corin Hardy,13007,$0.01M
The Day the Earth Stood Still,2008,PG-13,104 min,"Drama, Sci-Fi, Thriller",5.5,Scott Derrickson,151757,$79.37M
God's Not Dead,2014,PG,113 min,Drama,4.8,Harold Cronk,36855,$60.76M
A Scanner Darkly,2006,R,100 min,"Animation, Crime, Drama",7.1,Richard Linklater,97699,$5.50M
Iron Sky,2012,R,93 min,"Action, Comedy, Sci-Fi",5.9,Timo Vuorensola,85309,NaN
Paul Blart: Mall Cop,2009,PG,91 min,"Action, Comedy, Crime",5.2,Steve Carr,92678,$20.82M
American Ultra,2015,R,96 min,"Action, Comedy, Sci-Fi",6.1,Nima Nourizadeh,72943,$14.43M
Double Lover,2017,Not Rated,107 min,"Drama, Romance, Thriller",6.2,François Ozon,6631,$0.17M
The Water Diviner,2014,R,111 min,"Drama, History, War",7.1,Russell Crowe,64420,$4.19M
The Watch,2012,R,102 min,"Action, Comedy, Horror",5.7,Akiva Schaffer,113066,$35.35M
Deliver Us from Evil,2014,R,118 min,"Horror, Mystery, Thriller",6.2,Scott Derrickson,61800,$30.58M
Final Destination 3,2006,R,93 min,"Fantasy, Horror, Mystery",5.8,James Wong,115841,$54.10M
My Bloody Valentine,2009,R,101 min,"Horror, Mystery, Thriller",5.5,Patrick Lussier,49345,$51.55M
Ride Along,2014,PG-13,99 min,"Action, Comedy, Crime",6.2,Tim Story,90387,$134.94M
The Lords of Salem,2012,R,101 min,"Horror, Thriller",5.1,Rob Zombie,23942,$1.16M
First They Killed My Father,2017,TV-MA,136 min,"Biography, Drama, History",7.2,Angelina Jolie,8496,NaN
Lady in the Water,2006,PG-13,110 min,"Drama, Fantasy, Mystery",5.6,M. Night Shyamalan,87127,$42.29M
The Fourth Kind,2009,PG-13,98 min,"Mystery, Sci-Fi, Thriller",5.9,Olatunde Osunsanmi,68328,$25.46M
Precious,2009,R,110 min,Drama,7.3,Lee Daniels,97489,$47.40M
The Babysitters,2007,R,88 min,Drama,5.7,David Ross,9737,$0.04M
Stuck in Love,2012,R,97 min,"Comedy, Drama, Romance",7.3,Josh Boone,76673,$0.08M
Rust and Bone,2012,R,120 min,"Drama, Romance",7.5,Jacques Audiard,56833,$2.06M
Victor Frankenstein,2015,PG-13,110 min,"Drama, Horror, Sci-Fi",6,Paul McGuigan,44643,$5.78M
Sing Street,2016,PG-13,106 min,"Comedy, Drama, Music",8,John Carney,69162,$3.23M
Closed Circuit,2013,R,96 min,"Crime, Drama, Mystery",6.2,John Crowley,19830,$5.73M
24 Hours to Live,2017,R,93 min,"Action, Sci-Fi, Thriller",5.7,Brian Smrz,7896,NaN
Turbo Kid,2015,Not Rated,93 min,"Action, Comedy, Horror",6.7,François Simard,22452,$0.05M
The Artist,2011,PG-13,100 min,"Comedy, Drama, Romance",7.9,Michel Hazanavicius,211418,$44.67M
Aftermath,V) (2017,R,94 min,"Drama, Thriller",5.7,Elliott Lester,16032,NaN
Miracles from Heaven,2016,PG,109 min,"Biography, Drama, Family",7.1,Patricia Riggen,15894,$61.69M
Unknown,2011,PG-13,113 min,"Action, Mystery, Thriller",6.9,Jaume Collet-Serra,229138,$63.69M
The Bounty Hunter,2010,PG-13,110 min,"Action, Comedy, Romance",5.5,Andy Tennant,108518,$67.06M
Dreamgirls,2006,PG-13,130 min,"Drama, Music, Musical",6.5,Bill Condon,62656,$103.37M
The Dukes of Hazzard,2005,PG-13,104 min,"Adventure, Comedy",5.1,Jay Chandrasekhar,71023,$80.27M
Bedtime Stories,2008,PG,99 min,"Comedy, Family, Fantasy",6.1,Adam Shankman,79729,$110.10M
Crank: High Voltage,2009,R,96 min,"Action, Crime, Thriller",6.2,Mark Neveldine,127081,$13.63M
The Wicker Man,2006,PG-13,102 min,"Horror, Mystery, Thriller",3.7,Neil LaBute,58342,$23.64M
Speed Racer,2008,PG,135 min,"Action, Adventure, Comedy",6,Lana Wachowski,63556,$43.95M
The Darkest Hour,2011,PG-13,89 min,"Action, Adventure, Horror",4.9,Chris Gorak,53919,$21.43M
Where the Wild Things Are,2009,PG,101 min,"Adventure, Drama, Family",6.8,Spike Jonze,94598,$77.23M
Sinister 2,2015,R,97 min,"Horror, Mystery, Thriller",5.3,Ciarán Foy,38243,$27.74M
"Men, Women & Children",2014,R,119 min,"Comedy, Drama",6.7,Jason Reitman,27114,$0.46M
Naomi and Ely's No Kiss List,2015,Not Rated,89 min,"Comedy, Drama, Romance",5.7,Kristin Hanggi,7167,NaN
The Vanishing of Sidney Hall,2017,R,119 min,"Drama, Mystery",6.9,Shawn Christensen,5313,NaN
The Wedding Date,2005,PG-13,90 min,"Comedy, Romance",6.1,Clare Kilner,43533,$31.73M
All About Steve,2009,PG-13,99 min,"Comedy, Romance",4.8,Phil Traill,36387,$33.86M
Mary and Max,2009,Not Rated,92 min,"Animation, Comedy, Drama",8.1,Adam Elliot,144459,NaN
Seeking a Friend for the End of the World,2012,R,101 min,"Adventure, Comedy, Drama",6.7,Lorene Scafaria,99330,$6.62M
The Nut Job,2014,PG,85 min,"Animation, Adventure, Comedy",5.7,Peter Lepeniotis,23718,$64.25M
Silent Hill: Revelation,2012,R,95 min,Horror,5,M.J. Bassett,55248,$17.53M
Ice Age: Continental Drift,2012,PG,88 min,"Animation, Adventure, Comedy",6.6,Steve Martino,166820,$161.32M
El bar,2017,NaN,102 min,"Comedy, Horror, Thriller",6.3,Álex de la Iglesia,13558,NaN
The Walk,2015,PG,123 min,"Adventure, Biography, Drama",7.3,Robert Zemeckis,104653,$10.14M
Four Lions,2010,R,97 min,"Comedy, Crime, Drama",7.3,Christopher Morris,64088,$0.30M
Concussion,2015,PG-13,123 min,"Biography, Drama, Sport",7.1,Peter Landesman,73219,$34.53M
Date Night,2010,PG-13,88 min,"Comedy, Crime, Romance",6.3,Shawn Levy,140526,$98.71M
Poseidon,2006,PG-13,98 min,"Action, Adventure, Drama",5.6,Wolfgang Petersen,89379,$60.67M
Act of Valor,2012,R,110 min,"Action, Adventure, Drama",6.5,Mike McCoy,62588,$70.01M
The Green Hornet,2011,PG-13,119 min,"Action, Comedy, Crime",5.8,Michel Gondry,145837,$98.78M
Poltergeist,2015,PG-13,93 min,"Horror, Thriller",4.9,Gil Kenan,49880,$47.43M
Extraterrestrial,2014,Not Rated,101 min,"Horror, Sci-Fi",5,Colin Minihan,13251,NaN
The Forbidden Kingdom,2008,PG-13,104 min,"Action, Adventure, Fantasy",6.6,Rob Minkoff,94916,$52.08M
The Bucket List,2007,PG-13,97 min,"Adventure, Comedy, Drama",7.4,Rob Reiner,207183,$93.47M
Funny People,2009,R,146 min,"Comedy, Drama",6.3,Judd Apatow,107123,$51.86M
Martha Marcy May Marlene,2011,R,102 min,"Drama, Mystery, Thriller",6.9,Sean Durkin,44663,$2.98M
Gnomeo & Juliet,2011,G,84 min,"Animation, Adventure, Comedy",6,Kelly Asbury,47994,$99.97M
Better Watch Out,2016,R,89 min,"Comedy, Crime, Horror",6.5,Chris Peckover,18365,$0.02M
The Pirates of Somalia,2017,R,116 min,"Biography, Drama",6.8,Bryan Buckley,5650,NaN
On the Road,2012,R,124 min,"Adventure, Drama, Romance",6.1,Walter Salles,37004,$0.72M
Scary Movie 5,2013,PG-13,86 min,Comedy,3.5,Malcolm D. Lee,57360,$32.02M
Harold & Kumar Escape from Guantanamo Bay,2008,R,104 min,"Adventure, Comedy",6.6,Jon Hurwitz,122342,$38.09M
Rent,2005,PG-13,135 min,"Drama, Musical, Romance",7,Chris Columbus,45242,$29.08M
Man on a Ledge,2012,PG-13,102 min,"Action, Adventure, Crime",6.6,Asger Leth,134915,$18.62M
Cloudy with a Chance of Meatballs 2,2013,PG,95 min,"Animation, Action, Adventure",6.4,Cody Cameron,76704,$119.79M
Hard Candy,2005,R,104 min,"Crime, Drama, Thriller",7.1,David Slade,143481,$1.01M
Megan Leavey,2017,PG-13,116 min,"Biography, Drama, War",7.1,Gabriela Cowperthwaite,16638,$13.41M
How Do You Know,2010,PG-13,121 min,"Comedy, Drama, Romance",5.4,James L. Brooks,39356,$30.21M
Whip It,2009,PG-13,111 min,"Drama, Sport",6.9,Drew Barrymore,60062,$13.04M
Brigsby Bear,2017,PG-13,97 min,"Comedy, Drama",7.4,Dave McCary,11637,$0.53M
Circle,2015,Not Rated,87 min,"Drama, Horror, Mystery",6,Aaron Hann,26461,NaN
Land of the Dead,2005,R,93 min,"Horror, Sci-Fi, Thriller",6.2,George A. Romero,85059,$20.70M
Disconnect,2012,R,115 min,"Drama, Thriller",7.5,Henry Alex Rubin,68508,$7.44M
Resident Evil: Retribution,2012,R,95 min,"Action, Horror, Sci-Fi",5.4,Paul W.S. Anderson,121429,$42.35M
Death Race,2008,R,105 min,"Action, Sci-Fi, Thriller",6.4,Paul W.S. Anderson,182677,$36.32M
Diana,2013,PG-13,113 min,"Biography, Drama, Romance",5.5,Oliver Hirschbiegel,17104,$0.33M
Nick and Norah's Infinite Playlist,2008,PG-13,90 min,"Comedy, Drama, Music",6.7,Peter Sollett,82177,$31.49M
Run All Night,2015,R,114 min,"Action, Crime, Drama",6.6,Jaume Collet-Serra,90423,$26.44M
Playing It Cool,2014,R,94 min,"Comedy, Romance",6,Justin Reardon,21652,NaN
Mother of Tears,2007,R,102 min,"Drama, Horror, Thriller",5.1,Dario Argento,8079,$0.06M
Doomsday,2008,R,105 min,"Action, Sci-Fi, Thriller",6,Neil Marshall,67217,$10.96M
Loveless,2017,R,127 min,Drama,7.7,Andrey Zvyagintsev,19393,$0.57M
Just Like Heaven,2005,PG-13,95 min,"Comedy, Fantasy, Romance",6.7,Mark Waters,90614,$48.32M
Their Finest,2016,R,117 min,"Comedy, Drama, Romance",6.8,Lone Scherfig,13523,$3.60M
Street Kings,2008,R,109 min,"Action, Crime, Drama",6.8,David Ayer,100846,$26.42M
St. Vincent,2014,PG-13,102 min,"Comedy, Drama",7.3,Theodore Melfi,86918,$44.13M
Winter's Tale,2014,PG-13,118 min,"Drama, Fantasy, Mystery",6.2,Akiva Goldsman,47543,$0.02M
Lars and the Real Girl,2007,PG-13,106 min,"Comedy, Drama, Romance",7.3,Craig Gillespie,127563,$5.97M
Chalet Girl,2011,R,97 min,"Comedy, Romance, Sport",6.3,Phil Traill,21509,$0.00M
Walk Hard: The Dewey Cox Story,2007,R,96 min,"Comedy, Music",6.8,Jake Kasdan,61002,$18.32M
Mr. Bean's Holiday,2007,G,90 min,"Comedy, Family",6.4,Steve Bendelack,101614,$33.30M
Blair Witch,2016,R,89 min,"Horror, Thriller",5,Adam Wingard,34219,$20.78M
Trouble with the Curve,2012,PG-13,111 min,"Drama, Sport",6.8,Robert Lorenz,54121,$35.76M
Fool's Gold,2008,PG-13,112 min,"Action, Adventure, Comedy",5.7,Andy Tennant,66514,$70.23M
Mr. Church,2016,PG-13,104 min,"Comedy, Drama",7.6,Bruce Beresford,20965,$0.69M
"Yours, Mine & Ours",2005,PG,88 min,"Comedy, Family, Fantasy",5.4,Raja Gosnell,24144,$53.41M
The Rover,2014,R,103 min,"Action, Crime, Drama",6.4,David Michôd,39080,$1.11M
The Transporter Refueled,2015,PG-13,96 min,"Action, Adventure, Crime",5.2,Camille Delamarre,34652,$16.03M
Mr. Holmes,2015,PG,104 min,"Drama, Mystery",6.9,Bill Condon,55838,$17.74M
The Forest,2016,PG-13,93 min,"Horror, Mystery, Thriller",4.8,Jason Zada,34523,$26.58M
A Dangerous Method,2011,R,99 min,"Biography, Drama, Romance",6.4,David Cronenberg,90456,$5.70M
The Unborn,2009,PG-13,88 min,"Drama, Horror, Mystery",4.8,David S. Goyer,45784,$42.67M
Pride,2014,R,119 min,"Biography, Comedy, Drama",7.8,Matthew Warchus,44606,NaN
I'm Not There.,2007,R,135 min,"Biography, Drama, Music",7,Todd Haynes,52348,$4.02M
Stranger Than Fiction,2006,PG-13,113 min,"Comedy, Drama, Fantasy",7.6,Marc Forster,202834,$40.14M
Bølgen,2015,R,105 min,"Action, Drama, Thriller",6.7,Roar Uthaug,24300,$0.18M
The Siege of Jadotville,2016,NaN,108 min,"Action, Drama, Thriller",7.3,Richie Smyth,20892,NaN
Rio 2,2014,G,101 min,"Animation, Adventure, Comedy",6.3,Carlos Saldanha,68583,$131.54M
The Collector,2009,R,90 min,"Horror, Thriller",6.4,Marcus Dunstan,50358,$7.71M
Boo! A Madea Halloween,2016,PG-13,103 min,"Comedy, Horror",4.7,Tyler Perry,6303,$73.16M
The Croods,2013,PG,98 min,"Animation, Action, Adventure",7.2,Kirk DeMicco,170884,$187.17M
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,PG,81 min,"Comedy, Family",6.2,Miguel Arteta,35536,$66.95M
Marauders,2016,R,107 min,"Action, Crime, Mystery",5.5,Steven C. Miller,15078,NaN
6 Souls,2010,R,112 min,"Horror, Mystery, Thriller",6.1,Måns Mårlind,29322,NaN
By the Sea,2015,R,122 min,"Drama, Fantasy, Mystery",5.3,Angelina Jolie,15095,$0.53M
Woman in Gold,2015,PG-13,109 min,"Biography, Drama, History",7.3,Simon Curtis,45940,$33.31M
Balls of Fury,2007,PG-13,90 min,"Comedy, Crime, Sport",5.3,Robert Ben Garant,38149,$32.84M
Becoming Jane,2007,PG,120 min,"Biography, Drama, Romance",7.1,Julian Jarrold,52545,$18.67M
Mortdecai,2015,R,107 min,"Action, Comedy, Crime",5.5,David Koepp,58024,$7.61M
Sin-gwa ham-kke: Jwi-wa beol,2017,Not Rated,139 min,"Action, Drama, Fantasy",7.3,Yong-hwa Kim,6922,$1.91M
Tragedy Girls,2017,R,98 min,"Comedy, Crime, Horror",6,Tyler MacIntyre,5564,$0.06M
The Lazarus Effect,2015,PG-13,83 min,"Horror, Mystery, Sci-Fi",5.2,David Gelb,35101,$25.80M
The Soloist,2009,PG-13,117 min,"Biography, Drama, Music",6.7,Joe Wright,47497,$31.67M
Still Alice,2014,PG-13,101 min,Drama,7.5,Richard Glatzer,111172,$18.75M
The Possession,2012,PG-13,92 min,"Horror, Thriller",5.9,Ole Bornedal,52214,$49.13M
Daybreakers,2009,R,98 min,"Action, Fantasy, Horror",6.5,Michael Spierig,114064,$30.10M
The Fifth Estate,2013,R,128 min,"Biography, Drama, Thriller",6.2,Bill Condon,34872,$3.25M
Invictus,2009,PG-13,134 min,"Biography, Drama, History",7.4,Clint Eastwood,137149,$37.49M
10 Years,2011,PG-13,100 min,"Comedy, Drama, Romance",6.1,Jamie Linden,21743,$0.20M
Coriolanus,2011,R,123 min,"Drama, Thriller, War",6.1,Ralph Fiennes,29027,$0.76M
ARQ,2016,NaN,88 min,"Sci-Fi, Thriller",6.4,Tony Elliott,25597,NaN
Eddie the Eagle,2016,PG-13,106 min,"Biography, Comedy, Drama",7.4,Dexter Fletcher,69892,$15.79M
Survivor,2015,PG-13,96 min,"Action, Crime, Thriller",5.6,James McTeigue,26748,NaN
The Smurfs 2,2013,PG,105 min,"Animation, Adventure, Comedy",5.4,Raja Gosnell,32721,$71.02M
Before I Go to Sleep,2014,R,92 min,"Drama, Horror, Mystery",6.3,Rowan Joffe,60829,$2.96M
This Is England,2006,Not Rated,101 min,"Crime, Drama",7.7,Shane Meadows,107518,$0.33M
Notes on a Scandal,2006,R,92 min,"Crime, Drama, Romance",7.4,Richard Eyre,69493,$17.51M
J. Edgar,2011,R,137 min,"Biography, Crime, Drama",6.6,Clint Eastwood,113120,$37.31M
Ride Along 2,2016,PG-13,102 min,"Action, Comedy",5.9,Tim Story,45604,$90.84M
Mayhem,2017,Unrated,86 min,"Action, Comedy, Thriller",6.3,Joe Lynch,9919,NaN
Super,2010,R,96 min,"Action, Comedy, Drama",6.8,James Gunn,68776,$0.32M
Everly,2014,R,92 min,"Action, Thriller",5.1,Joe Lynch,15180,NaN
A Fantastic Woman,2017,R,104 min,Drama,7.2,Sebastián Lelio,14536,$2.02M
Testament of Youth,2014,PG-13,129 min,"Biography, Drama, History",7.3,James Kent,21647,$1.82M
Aquamarine,2006,PG,104 min,"Comedy, Family, Fantasy",5.3,Elizabeth Allen Rosenbaum,34446,$18.60M
My Sister's Keeper,2009,PG-13,109 min,"Drama, Family",7.4,Nick Cassavetes,82776,$49.20M
Inconceivable,2017,R,105 min,"Drama, Thriller",5.2,Jonathan Baker,6072,NaN
Catch and Release,2006,PG-13,124 min,"Comedy, Drama, Romance",6,Susannah Grant,20933,$15.27M
V/H/S,2012,R,116 min,"Horror, Thriller",5.8,Matt Bettinelli-Olpin,51065,$0.10M
Drinking Buddies,2013,R,90 min,"Comedy, Drama, Romance",6.1,Joe Swanberg,52209,$0.34M
Hours,2013,PG-13,97 min,"Drama, Thriller",6.5,Eric Heisserer,25516,NaN
"Synecdoche, New York",2008,R,124 min,"Comedy, Drama",7.5,Charlie Kaufman,68238,$3.08M
The Blackcoat's Daughter,2015,R,93 min,"Horror, Thriller",5.9,Oz Perkins,10675,$0.02M
Lost River,2014,R,95 min,"Drama, Fantasy, Mystery",5.8,Ryan Gosling,14842,$0.04M
Carnage,2011,R,80 min,"Comedy, Drama",7.2,Roman Polanski,107939,$2.55M
The 33,2015,PG-13,127 min,"Biography, Drama, History",6.9,Patricia Riggen,30717,$12.19M
Shortbus,2006,Not Rated,101 min,"Drama, Romance",6.5,John Cameron Mitchell,29807,$1.99M
Drive Angry,2011,R,104 min,"Action, Fantasy, Thriller",5.4,Patrick Lussier,88085,$10.71M
Dope,2015,R,103 min,"Comedy, Crime, Drama",7.2,Rick Famuyiwa,74130,$17.47M
Filth,2013,R,97 min,"Comedy, Crime, Drama",7.1,Jon S. Baird,89547,$0.03M
House at the End of the Street,2012,PG-13,101 min,"Drama, Horror, Thriller",5.6,Mark Tonderai,64591,$31.61M
No Good Deed,2014,PG-13,84 min,"Crime, Drama, Thriller",5.6,Sam Miller,15215,$52.54M
The Family,2013,R,111 min,"Comedy, Crime, Thriller",6.3,Luc Besson,99414,$36.92M
Equals,2015,PG-13,101 min,"Drama, Romance, Sci-Fi",6.1,Drake Doremus,21901,$0.03M
Daddy's Little Girls,2007,PG-13,100 min,"Drama, Romance",5.5,Tyler Perry,6461,$31.34M
The Great Beauty,2013,Not Rated,141 min,Drama,7.8,Paolo Sorrentino,68685,$2.85M
Ghosts of Girlfriends Past,2009,PG-13,100 min,"Comedy, Fantasy, Romance",5.8,Mark Waters,75096,$55.25M
Killers,2010,PG-13,100 min,"Action, Comedy, Romance",5.4,Robert Luketic,79824,$47.06M
Red Eye,2005,PG-13,85 min,"Mystery, Thriller",6.5,Wes Craven,102543,$57.89M
C'est la vie!,2017,NaN,117 min,"Comedy, Drama, Romance",6.9,Olivier Nakache,5548,NaN
The Spirit,2008,PG-13,103 min,"Action, Crime, Fantasy",4.8,Frank Miller,56705,$19.78M
Security,2017,R,88 min,"Action, Crime, Thriller",5.7,Alain Desrochers,11435,NaN
Cabin Fever,2016,R,99 min,Horror,3.7,Travis Zariwny,7239,NaN
Spy Kids: All the Time in the World in 4D,2011,PG,89 min,"Action, Adventure, Comedy",3.5,Robert Rodriguez,18629,$38.54M
W.,2008,PG-13,129 min,"Biography, Drama, History",6.3,Oliver Stone,43458,$25.53M
Creep 2,2017,Not Rated,78 min,"Horror, Thriller",6.4,Patrick Brice,9993,NaN
Resident Evil: Afterlife,2010,R,96 min,"Action, Adventure, Horror",5.9,Paul W.S. Anderson,148883,$60.13M
Draft Day,2014,PG-13,110 min,"Drama, Sport",6.8,Ivan Reitman,46531,$28.83M
The American,2010,R,105 min,"Crime, Drama, Thriller",6.3,Anton Corbijn,85281,$35.61M
The Break-Up,2006,PG-13,106 min,"Comedy, Drama, Romance",5.8,Peyton Reed,112762,$118.70M
The Final Destination,2009,R,82 min,"Fantasy, Horror, Mystery",5.2,David R. Ellis,85451,$66.48M
Horton Hears a Who!,2008,G,86 min,"Animation, Adventure, Comedy",6.8,Jimmy Hayward,117708,$154.53M
Faster,2010,R,98 min,"Action, Crime, Drama",6.5,George Tillman Jr.,88522,$23.24M
The Box,2009,PG-13,115 min,"Drama, Fantasy, Mystery",5.6,Richard Kelly,83145,$15.05M
Fathers & Daughters,2015,R,116 min,Drama,7.1,Gabriele Muccino,19698,NaN
The Diary of a Teenage Girl,2015,R,102 min,"Comedy, Drama, Romance",6.9,Marielle Heller,25559,$1.48M
The Case for Christ,2017,PG,112 min,"Biography, Drama, History",6.1,Jon Gunn,5668,$14.68M
Devil's Knot,2013,Not Rated,114 min,"Biography, Crime, Drama",6.1,Atom Egoyan,17560,NaN
The Guardian,2006,PG-13,139 min,"Action, Adventure, Drama",6.9,Andrew Davis,81360,$55.01M
The Way Back,2010,PG-13,133 min,"Adventure, Drama, History",7.3,Peter Weir,98926,$2.70M
The Book Thief,2013,PG-13,131 min,"Drama, War",7.6,Brian Percival,115086,$21.49M
Tammy,2014,R,97 min,"Comedy, Romance",4.9,Ben Falcone,42407,$84.53M
Ice Age: The Meltdown,2006,PG,91 min,"Animation, Adventure, Comedy",6.8,Carlos Saldanha,223665,$195.33M
Holding the Man,2015,Unrated,127 min,"Biography, Drama, Romance",7.3,Neil Armfield,7603,NaN
Sandy Wexler,2017,TV-14,130 min,Comedy,5.1,Steven Brill,10716,NaN
The Monuments Men,2014,PG-13,118 min,"Drama, History, War",6.1,George Clooney,114314,$78.03M
Sabotage,2014,R,109 min,"Action, Crime, Drama",5.7,David Ayer,53987,$10.51M
Crazy Heart,2009,R,112 min,"Drama, Music, Romance",7.3,Scott Cooper,76862,$39.46M
Anomalisa,2015,R,90 min,"Animation, Comedy, Drama",7.3,Duke Johnson,54334,$3.76M
Big Miracle,2012,PG,107 min,"Biography, Drama, Romance",6.5,Ken Kwapis,16956,$20.11M
The Descent: Part 2,2009,R,94 min,"Adventure, Horror, Thriller",5.8,Jon Harris,37981,NaN
Short Term 12,2013,R,96 min,Drama,8,Destin Daniel Cretton,69142,$1.01M
Don't Knock Twice,2016,R,93 min,Horror,5.1,Caradog W. James,9249,NaN
