Title,Year,Type,Runtime,Genre,Rating,Director,No_of_ratings,Gross
Transformers: The Last Knight,2017,PG-13,154 min,"Action, Adventure, Sci-Fi",5.2,Michael Bay,105485,$130.17M
Jack Ryan: Shadow Recruit,2014,PG-13,105 min,"Action, Drama, Thriller",6.2,Kenneth Branagh,110240,$50.58M
Gods of Egypt,2016,PG-13,127 min,"Action, Adventure, Fantasy",5.4,Alex Proyas,88963,$31.15M
"I, Tonya",2017,R,120 min,"Biography, Comedy, Drama",7.5,Craig Gillespie,109044,$30.01M
Ant-Man,2015,PG-13,117 min,"Action, Adventure, Comedy",7.3,Peyton Reed,447907,$180.20M
Pitch Perfect 3,2017,PG-13,93 min,"Comedy, Music",5.9,Trish Sie,35240,$104.90M
A Prayer Before Dawn,2017,R,116 min,"Action, Biography, Crime",7,Jean-Stéphane Sauvaire,6501,NaN
Room,2015,R,118 min,"Drama, Thriller",8.2,Lenny Abrahamson,285970,$14.68M
Dad's Army,2016,Not Rated,100 min,"Comedy, War",5.2,Oliver Parker,6262,NaN
The 40-Year-Old Virgin,2005,R,116 min,"Comedy, Romance",7.1,Judd Apatow,349893,$109.45M
Disobedience,2017,R,114 min,"Drama, Romance",6.6,Sebastián Lelio,10285,$3.48M
13 Hours,2016,R,144 min,"Action, Drama, History",7.3,Michael Bay,96323,$52.85M
You Were Never Really Here,2017,R,89 min,"Drama, Mystery, Thriller",6.9,Lynne Ramsay,44584,$2.52M
Lady Bird,2017,R,94 min,"Comedy, Drama",7.5,Greta Gerwig,144774,$48.96M
Harry Potter and the Goblet of Fire,2005,PG-13,157 min,"Adventure, Family, Fantasy",7.7,Mike Newell,459209,$290.01M
Cinderella,2015,PG,105 min,"Drama, Family, Fantasy",6.9,Kenneth Branagh,133358,$201.15M
American Assassin,2017,R,112 min,"Action, Thriller",6.2,Michael Cuesta,50007,$36.25M
Arrival,2016,PG-13,116 min,"Drama, Mystery, Sci-Fi",7.9,Denis Villeneuve,467471,$100.55M
The Fate of the Furious,2017,PG-13,136 min,"Action, Crime, Thriller",6.7,F. Gary Gray,166788,$226.01M
Atomic Blonde,2017,R,115 min,"Action, Mystery, Thriller",6.7,David Leitch,133676,$51.57M
Twilight,2008,PG-13,122 min,"Drama, Fantasy, Romance",5.2,Catherine Hardwicke,379554,$191.47M
American Made,2017,R,115 min,"Action, Biography, Comedy",7.2,Doug Liman,114086,$51.34M
The Help,2011,PG-13,146 min,Drama,8.1,Tate Taylor,376501,$169.71M
La La Land,2016,PG-13,128 min,"Comedy, Drama, Music",8.1,Damien Chazelle,390915,$151.10M
Inside Out,2015,PG,95 min,"Animation, Adventure, Comedy",8.2,Pete Docter,496919,$356.46M
Her,2013,R,126 min,"Drama, Romance, Sci-Fi",8,Spike Jonze,438677,$25.57M
I Kill Giants,2017,Not Rated,106 min,"Drama, Fantasy, Thriller",6.2,Anders Walter,18644,NaN
The Secret Life of Pets,2016,PG,87 min,"Animation, Adventure, Comedy",6.5,Chris Renaud,149654,$368.38M
The Snowman,2017,R,119 min,"Crime, Drama, Mystery",5.1,Tomas Alfredson,40907,$6.67M
The Killing of a Sacred Deer,2017,R,121 min,"Drama, Mystery, Thriller",7.1,Yorgos Lanthimos,71042,$2.29M
Molly's Game,2017,R,140 min,"Biography, Crime, Drama",7.5,Aaron Sorkin,80262,$28.78M
Alien: Covenant,2017,R,122 min,"Horror, Sci-Fi, Thriller",6.4,Ridley Scott,207851,$74.26M
The Hateful Eight,2015,R,187 min,"Crime, Drama, Mystery",7.8,Quentin Tarantino,402064,$54.12M
The VVitch: A New-England Folktale,2015,R,92 min,"Horror, Mystery",6.8,Robert Eggers,134383,$25.14M
Mission: Impossible - Ghost Protocol,2011,PG-13,132 min,"Action, Adventure, Thriller",7.4,Brad Bird,411086,$209.40M
Tusk,2014,R,102 min,"Comedy, Drama, Horror",5.3,Kevin Smith,38509,$1.82M
The Girl on the Train,2016,R,112 min,"Crime, Drama, Mystery",6.5,Tate Taylor,138577,$75.40M
The Post,2017,PG-13,116 min,"Biography, Drama, History",7.2,Steven Spielberg,86793,$81.90M
Loving Pablo,2017,R,123 min,"Biography, Crime, Drama",6.3,Fernando León de Aranoa,7447,NaN
Tomorrowland,2015,PG,130 min,"Action, Adventure, Family",6.5,Brad Bird,156285,$93.44M
Charlie and the Chocolate Factory,2005,PG,115 min,"Adventure, Comedy, Family",6.7,Tim Burton,371175,$206.46M
Cold Skin,2017,NaN,108 min,"Adventure, Horror, Sci-Fi",5.9,Xavier Gens,5307,NaN
Me Before You,2016,PG-13,106 min,"Drama, Romance",7.4,Thea Sharrock,152342,$56.25M
The Twilight Saga: Breaking Dawn - Part 2,2012,PG-13,115 min,"Adventure, Drama, Fantasy",5.5,Bill Condon,206385,$292.30M
Trolls,2016,PG,92 min,"Animation, Adventure, Comedy",6.5,Mike Mitchell,58874,$153.71M
Ghost in the Shell,2017,PG-13,107 min,"Action, Drama, Sci-Fi",6.4,Rupert Sanders,159829,$40.53M
Don't Breathe,2016,R,88 min,"Crime, Horror, Thriller",7.1,Fede Alvarez,168858,$89.22M
King Arthur: Legend of the Sword,2017,PG-13,126 min,"Action, Adventure, Drama",6.8,Guy Ritchie,154971,$39.18M
The Blind Side,2009,PG-13,129 min,"Biography, Drama, Sport",7.7,John Lee Hancock,256112,$255.96M
We're the Millers,2013,R,110 min,"Comedy, Crime",7,Rawson Marshall Thurber,358684,$150.39M
Logan Lucky,2017,PG-13,118 min,"Comedy, Crime, Drama",7,Steven Soderbergh,92359,$27.78M
Home Again,2017,PG-13,97 min,"Comedy, Drama, Romance",5.8,Hallie Meyers-Shyer,18482,$27.02M
Valerian and the City of a Thousand Planets,2017,PG-13,137 min,"Action, Adventure, Fantasy",6.5,Luc Besson,125521,$41.19M
Crazy Stupid Love,2011,PG-13,118 min,"Comedy, Drama, Romance",7.4,Glenn Ficarra,422964,$84.35M
Zootopia,2016,PG,108 min,"Animation, Adventure, Comedy",8,Byron Howard,354266,$341.27M
Goodbye Christopher Robin,2017,PG,107 min,"Biography, Drama",7.1,Simon Curtis,14864,$1.74M
Hacksaw Ridge,2016,R,139 min,"Biography, Drama, History",8.2,Mel Gibson,332844,$67.21M
The Magnificent Seven,2016,PG-13,132 min,"Action, Adventure, Western",6.9,Antoine Fuqua,157695,$93.43M
Star Trek: Beyond,2016,PG-13,122 min,"Action, Adventure, Sci-Fi",7.1,Justin Lin,199301,$158.85M
The Endless,2017,Not Rated,111 min,"Fantasy, Horror, Sci-Fi",6.5,Justin Benson,9814,$0.27M
Bright,2017,TV-MA,117 min,"Action, Crime, Fantasy",6.4,David Ayer,134177,NaN
Spectre,2015,PG-13,148 min,"Action, Adventure, Thriller",6.8,Sam Mendes,338126,$200.07M
Happy Death Day,2017,PG-13,96 min,"Horror, Mystery, Thriller",6.5,Christopher Landon,63699,$55.68M
Kong: Skull Island,2017,PG-13,118 min,"Action, Adventure, Fantasy",6.7,Jordan Vogt-Roberts,214846,$168.05M
About Time,2013,R,123 min,"Comedy, Drama, Fantasy",7.8,Richard Curtis,246003,$15.32M
The Glass Castle,2017,PG-13,127 min,"Biography, Drama",7.2,Destin Daniel Cretton,18678,$17.27M
The Disaster Artist,2017,R,104 min,"Biography, Comedy, Drama",7.5,James Franco,92878,$21.12M
Annabelle: Creation,2017,R,109 min,"Horror, Mystery, Thriller",6.6,David F. Sandberg,76140,$102.09M
Divergent,2014,PG-13,139 min,"Adventure, Mystery, Sci-Fi",6.7,Neil Burger,386989,$150.95M
Only the Brave,2017,PG-13,134 min,"Biography, Drama",7.7,Joseph Kosinski,34229,$18.34M
The Mummy,2017,PG-13,110 min,"Action, Adventure, Fantasy",5.5,Alex Kurtzman,139944,$80.10M
Moonlight,2016,R,111 min,Drama,7.4,Barry Jenkins,203016,$27.85M
Pride & Prejudice,2005,PG,129 min,"Drama, Romance",7.8,Joe Wright,221059,$38.41M
Nocturnal Animals,2016,R,116 min,"Crime, Drama, Romance",7.5,Tom Ford,184641,$10.64M
Furious 7,2015,PG-13,137 min,"Action, Crime, Thriller",7.2,James Wan,324397,$353.01M
Prisoners,2013,R,153 min,"Crime, Drama, Mystery",8.1,Denis Villeneuve,496200,$61.00M
Bad Moms,2016,R,100 min,Comedy,6.2,Jon Lucas,93247,$113.26M
Power Rangers,2017,PG-13,124 min,"Action, Adventure, Sci-Fi",6,Dean Israelite,85388,$85.07M
Spotlight,2015,R,128 min,"Crime, Drama, History",8.1,Tom McCarthy,335428,$45.06M
Bone Tomahawk,2015,Not Rated,132 min,"Adventure, Drama, Horror",7.1,S. Craig Zahler,61598,NaN
Gerald's Game,2017,TV-MA,103 min,"Drama, Horror, Thriller",6.6,Mike Flanagan,50947,NaN
Ghostbusters,2016,PG-13,116 min,"Action, Comedy, Fantasy",5.3,Paul Feig,175584,$128.34M
X-Men Origins: Wolverine,2009,PG-13,107 min,"Action, Adventure, Sci-Fi",6.6,Gavin Hood,418495,$179.88M
Battle of the Sexes,2017,PG-13,121 min,"Biography, Comedy, Drama",6.7,Jonathan Dayton,36174,$12.64M
Hidden Figures,2016,PG,127 min,"Biography, Drama, History",7.8,Theodore Melfi,155599,$169.39M
Big Hero 6,2014,PG,102 min,"Animation, Action, Adventure",7.8,Don Hall,345624,$222.53M
Forgetting Sarah Marshall,2008,R,111 min,"Comedy, Drama, Romance",7.2,Nicholas Stoller,240650,$63.17M
Rogue One,2016,PG-13,133 min,"Action, Adventure, Sci-Fi",7.8,Gareth Edwards,440279,$532.18M
The Cabin in the Woods,2012,R,95 min,"Comedy, Horror",7,Drew Goddard,322469,$42.07M
War for the Planet of the Apes,2017,PG-13,140 min,"Action, Adventure, Drama",7.5,Matt Reeves,183147,$146.88M
Les Misérables,2012,PG-13,158 min,"Drama, History, Musical",7.6,Tom Hooper,275435,$148.81M
Jack Reacher: Never Go Back,2016,PG-13,118 min,"Action, Adventure, Crime",6.1,Edward Zwick,110092,$58.70M
Jason Bourne,2016,PG-13,123 min,"Action, Thriller",6.6,Paul Greengrass,179965,$162.43M
Rock of Ages,2012,PG-13,123 min,"Comedy, Drama, Musical",5.9,Adam Shankman,68088,$38.52M
The Jungle Book,2016,PG,106 min,"Adventure, Drama, Family",7.4,Jon Favreau,229463,$364.00M
The Girl with the Dragon Tattoo,2011,R,158 min,"Crime, Drama, Mystery",7.8,David Fincher,373121,$102.52M
Spider-Man 3,2007,PG-13,139 min,"Action, Adventure, Sci-Fi",6.2,Sam Raimi,439903,$336.53M
Central Intelligence,2016,PG-13,107 min,"Action, Comedy, Crime",6.3,Rawson Marshall Thurber,125107,$127.44M
Harry Potter and the Deathly Hallows: Part 1,2010,PG-13,146 min,"Adventure, Family, Fantasy",7.7,David Yates,397437,$295.98M
Your Name.,2016,PG,106 min,"Animation, Drama, Fantasy",8.4,Makoto Shinkai,106344,$5.02M
Mission: Impossible III,2006,PG-13,126 min,"Action, Adventure, Thriller",6.9,J.J. Abrams,293488,$134.03M
The Death of Stalin,2017,R,107 min,"Comedy, Drama, History",7.2,Armando Iannucci,45807,$8.04M
The Devil Wears Prada,2006,PG-13,109 min,"Comedy, Drama",6.9,David Frankel,324587,$124.74M
Harry Potter and the Order of the Phoenix,2007,PG-13,138 min,"Adventure, Family, Fantasy",7.5,David Yates,425273,$292.00M
The Incredible Hulk,2008,PG-13,112 min,"Action, Adventure, Sci-Fi",6.8,Louis Leterrier,377135,$134.52M
Just Go with It,2011,PG-13,117 min,"Comedy, Romance",6.4,Dennis Dugan,193970,$103.03M
Phantom Thread,2017,R,130 min,"Drama, Romance",7.6,Paul Thomas Anderson,68807,$21.02M
The Man from U.N.C.L.E.,2015,PG-13,116 min,"Action, Adventure, Comedy",7.3,Guy Ritchie,229412,$45.45M
Spring Breakers,2012,R,94 min,"Crime, Drama",5.3,Harmony Korine,121856,$14.12M
Nymphomaniac: Vol. I,2013,Not Rated,117 min,Drama,7,Lars von Trier,100899,$0.79M
Now You See Me 2,2016,PG-13,129 min,"Action, Adventure, Comedy",6.5,Jon M. Chu,197098,$65.08M
"Definitely, Maybe",2008,PG-13,112 min,"Comedy, Drama, Romance",7.2,Adam Brooks,141637,$31.97M
Ferdinand,2017,PG,108 min,"Animation, Adventure, Comedy",6.7,Carlos Saldanha,31849,$84.41M
All the Money in the World,2017,R,132 min,"Biography, Crime, Drama",6.9,Ridley Scott,48044,$25.11M
Passengers,2016,PG-13,116 min,"Drama, Romance, Sci-Fi",7,Morten Tyldum,282045,$100.01M
Tangled,2010,PG,100 min,"Animation, Adventure, Comedy",7.8,Nathan Greno,346316,$200.82M
Hot Fuzz,2007,R,121 min,"Action, Comedy",7.9,Edgar Wright,407592,$23.64M
The Ritual,2017,TV-MA,94 min,"Horror, Mystery, Thriller",6.3,David Bruckner,40808,NaN
All I See Is You,2016,R,109 min,"Drama, Mystery, Romance",5.3,Marc Forster,5567,$0.22M
Pain & Gain,2013,R,129 min,"Action, Comedy, Crime",6.4,Michael Bay,180261,$49.88M
The Hobbit: The Battle of the Five Armies,2014,PG-13,144 min,"Adventure, Fantasy",7.4,Peter Jackson,420053,$255.12M
Spy,2015,R,119 min,"Action, Comedy, Crime",7,Paul Feig,206110,$110.83M
Life,2017,R,104 min,"Horror, Sci-Fi, Thriller",6.6,Daniel Espinosa,163851,$30.23M
Scott Pilgrim vs. the World,2010,PG-13,112 min,"Action, Comedy, Romance",7.5,Edgar Wright,321673,$31.49M
The Great Gatsby,2013,PG-13,143 min,"Drama, Romance",7.3,Baz Luhrmann,415717,$144.84M
Bridesmaids,2011,R,125 min,"Comedy, Romance",6.8,Paul Feig,242387,$169.11M
Harry Potter and the Half-Blood Prince,2009,PG,153 min,"Adventure, Family, Fantasy",7.6,David Yates,390389,$301.96M
Stardust,2007,PG-13,127 min,"Adventure, Family, Fantasy",7.7,Matthew Vaughn,232478,$38.63M
Ocean's Thirteen,2007,PG-13,122 min,"Crime, Thriller",6.9,Steven Soderbergh,287856,$117.15M
The Purge,2013,R,85 min,"Horror, Thriller",5.7,James DeMonaco,172668,$64.47M
Marrowbone,2017,R,110 min,"Drama, Horror, Thriller",6.6,Sergio G. Sánchez,11652,$0.00M
Blue Is the Warmest Color,2013,NC-17,180 min,"Drama, Romance",7.8,Abdellatif Kechiche,117365,$2.20M
The Shallows,2016,PG-13,86 min,"Drama, Horror, Thriller",6.3,Jaume Collet-Serra,99874,$55.12M
Girls Trip,2017,R,122 min,Comedy,6.2,Malcolm D. Lee,25904,$115.11M
Superbad,2007,R,113 min,Comedy,7.6,Greg Mottola,467620,$121.46M
Predators,2010,R,107 min,"Action, Adventure, Sci-Fi",6.4,Nimród Antal,190786,$52.00M
The Dark Tower,2017,PG-13,95 min,"Action, Adventure, Fantasy",5.7,Nikolaj Arcel,96575,$50.70M
Warcraft,2016,PG-13,123 min,"Action, Adventure, Fantasy",6.9,Duncan Jones,215322,$47.37M
Cars 3,2017,G,102 min,"Animation, Adventure, Comedy",6.8,Brian Fee,49970,$152.90M
The Accountant,2016,R,128 min,"Action, Crime, Drama",7.4,Gavin O'Connor,217040,$86.26M
The 5th Wave,2016,PG-13,112 min,"Action, Adventure, Sci-Fi",5.2,J Blakeson,85948,$34.91M
The Babysitter,2017,TV-MA,85 min,"Comedy, Horror",6.3,McG,38408,NaN
Lone Survivor,2013,R,121 min,"Action, Biography, Drama",7.5,Peter Berg,237223,$125.10M
Hell or High Water,2016,R,102 min,"Crime, Drama, Thriller",7.6,David Mackenzie,159571,$26.86M
47 Meters Down,2017,PG-13,89 min,"Adventure, Drama, Horror",5.6,Johannes Roberts,34494,$44.31M
Constantine,2005,R,132 min,"Action, Drama, Fantasy",7,Francis Lawrence,266639,$75.98M
The Perks of Being a Wallflower,2012,PG-13,102 min,"Drama, Romance",8,Stephen Chbosky,408079,$17.74M
Fury,2014,R,134 min,"Action, Drama, War",7.6,David Ayer,363850,$85.82M
Sucker Punch,2011,PG-13,110 min,"Action, Fantasy",6.1,Zack Snyder,213771,$36.39M
Green Lantern,2011,PG-13,114 min,"Action, Adventure, Sci-Fi",5.6,Martin Campbell,245482,$116.60M
Wreck-It Ralph,2012,PG,101 min,"Animation, Adventure, Comedy",7.7,Rich Moore,316590,$189.42M
Pitch Perfect 2,2015,PG-13,115 min,"Comedy, Music",6.4,Elizabeth Banks,123872,$184.30M
Jack Reacher,2012,PG-13,130 min,"Action, Crime, Mystery",7,Christopher McQuarrie,272470,$80.07M
Dirty Grandpa,2016,R,102 min,Comedy,5.9,Dan Mazer,94210,$35.54M
Terminator Genisys,2015,PG-13,126 min,"Action, Adventure, Sci-Fi",6.5,Alan Taylor,224770,$89.76M
Fantastic Four,2015,PG-13,100 min,"Action, Adventure, Sci-Fi",4.3,Josh Trank,134679,$56.12M
San Andreas,2015,PG-13,114 min,"Action, Adventure, Drama",6.1,Brad Peyton,179607,$155.19M
What Happened to Monday,2017,TV-MA,123 min,"Action, Adventure, Crime",6.9,Tommy Wirkola,71701,NaN
American Sniper,2014,R,133 min,"Action, Biography, Drama",7.3,Clint Eastwood,383712,$350.13M
Grown Ups 2,2013,PG-13,101 min,Comedy,5.4,Dennis Dugan,123562,$133.67M
American Hustle,2013,R,138 min,"Crime, Drama",7.3,David O. Russell,403797,$150.12M
There Will Be Blood,2007,R,158 min,Drama,8.1,Paul Thomas Anderson,443306,$40.22M
Paddington 2,2017,PG,103 min,"Animation, Adventure, Comedy",7.9,Paul King,34867,$40.44M
The Captive,2014,R,112 min,"Crime, Drama, Mystery",5.9,Atom Egoyan,24747,NaN
Hardcore Henry,2015,R,96 min,"Action, Adventure, Sci-Fi",6.7,Ilya Naishuller,72564,$9.24M
The Big Short,2015,R,130 min,"Biography, Comedy, Drama",7.8,Adam McKay,286974,$70.26M
